id,number_of_security_element,ic,tp_number,tp_type,type_of_security_element,tp_number_id
289,1,2,1,2,0,1
290,2,3,1,2,0,1
291,3,4,1,2,0,1
292,4,8,1,2,0,1
293,5,9,1,2,0,1
294,6,10,1,2,0,1
295,4,2,2,2,0,2
296,24,4,2,2,1,2
297,3,5,2,2,0,2
298,5,6,2,2,0,2
299,1,7,2,2,0,2
300,2,9,2,2,0,2
301,24,11,2,2,1,2
302,22,12,2,2,1,2
303,3,4,3,2,0,3
304,1,5,3,2,0,3
305,2,9,3,2,0,3
306,4,10,3,2,0,3
307,1,1,4,2,0,4
308,2,2,4,2,0,4
309,3,3,4,2,0,4
310,4,12,4,2,0,4
311,1,2,5,2,0,5
312,2,3,5,2,0,5
313,3,12,5,2,0,5
314,3,3,6,2,0,6
315,2,6,6,2,0,6
316,1,9,6,2,0,6
317,1,4,7,2,0,7
318,2,5,7,2,0,7
319,3,9,7,2,0,7
320,1,3,8,2,0,8
321,2,5,8,2,0,8
322,39,6,8,2,1,8
323,29,8,8,2,1,8
324,3,9,8,2,0,8
325,43,1,9,2,1,9
326,1,3,9,2,0,9
327,2,5,9,2,0,9
328,3,8,9,2,0,9
329,34,9,9,2,1,9
330,3,1,10,2,0,10
331,19,3,10,2,1,10
332,2,6,10,2,0,10
333,1,9,10,2,0,10
334,1,2,11,2,0,11
335,12,4,11,2,1,11
336,11,1,12,2,1,12
337,1,2,12,2,0,12
338,13,4,12,2,1,12
339,12,1,13,2,1,13
340,1,2,13,2,0,13
341,1,1,14,2,0,14
342,15,3,14,2,1,14
343,2,7,14,2,0,14
344,17,1,15,2,1,15
345,1,2,15,2,0,15
346,14,4,15,2,1,15
347,1,3,16,2,0,16
348,2,7,16,2,0,16
349,1,2,17,2,0,17
350,15,4,17,2,1,17
351,1,2,18,2,0,18
352,23,4,18,2,1,18
353,1,3,19,2,0,19
354,10,5,19,2,1,19
355,21,1,20,2,1,20
356,1,3,20,2,0,20
357,2,7,20,2,0,20
358,20,1,21,2,1,21
359,1,2,21,2,0,21
360,91,3,21,2,1,21
361,2,7,21,2,0,21
362,92,10,21,2,1,21
363,2,1,22,2,1,22
364,2,3,22,2,0,22
365,1,7,22,2,0,22
366,1,2,23,2,0,23
367,18,4,23,2,1,23
368,30,6,23,2,1,23
369,35,2,24,2,1,24
370,1,4,24,2,0,24
371,2,8,24,2,0,24
372,1,1,25,2,0,25
373,2,7,25,2,0,25
374,42,8,25,2,1,25
375,1,3,27,2,0,27
376,29,4,27,2,1,27
377,1,1,28,2,0,28
378,2,7,28,2,0,28
379,39,8,28,2,1,28
380,8,2,29,2,1,29
381,1,4,29,2,0,29
382,2,5,29,2,0,29
383,27,7,29,2,1,29
384,23,1,30,2,1,30
385,2,4,30,2,0,30
386,1,10,30,2,0,30
387,1,1,31,2,0,31
388,2,7,31,2,0,31
389,1,4,34,2,0,34
390,9,5,34,2,1,34
391,24,1,35,2,1,35
392,1,3,35,2,0,35
393,36,4,35,2,1,35
394,1,3,36,2,0,36
395,35,4,36,2,1,36
396,37,6,36,2,1,36
397,1,2,37,2,0,37
398,38,3,37,2,1,37
399,36,7,37,2,1,37
400,47,2,38,2,1,38
401,1,4,38,2,0,38
402,37,5,38,2,1,38
403,2,8,38,2,0,38
404,40,4,39,2,1,39
405,1,6,39,2,0,39
406,28,7,39,2,1,39
407,8,9,39,2,1,39
408,1,2,40,2,0,40
409,39,4,40,2,1,40
410,25,1,42,2,1,42
411,1,2,42,2,0,42
412,9,1,43,2,1,43
413,2,4,43,2,0,43
414,1,10,43,2,0,43
415,1,2,44,2,0,44
416,2,7,44,2,0,44
417,1,1,47,2,0,47
418,38,7,47,2,1,47
419,1,2,55,2,0,55
420,2,7,55,2,0,55
